dataset,method,variant,macro_f1_mean,macro_f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std,source_table,reproducible
YelpReviews,MLP,main,62.09,0.05,75.00,0.06,32.24,0.13,Table2,REPRODUCIBLE
YelpReviews,SAGE,main,64.64,0.69,75.59,0.89,36.75,1.99,Table2,REPRODUCIBLE
YelpReviews,HGT,main,66.53,0.57,81.49,0.50,40.04,1.64,Table2,REPRODUCIBLE
YelpReviews,ConsisGAD,main,67.33,0.05,82.12,0.21,42.11,0.16,Table2,REPRODUCIBLE
YelpReviews,PMP,main,63.76,2.87,78.84,0.71,33.00,1.15,Table2,REPRODUCIBLE
YelpReviews,GAAP,main,65.67,3.14,77.51,3.63,33.73,1.30,Table2,REPRODUCIBLE
YelpReviews,LLM,main,60.79,0.71,71.18,1.25,30.45,0.66,Table2,REPRODUCIBLE
YelpReviews,TAPE,main,64.33,1.81,74.00,1.41,37.89,2.03,Table2,REPRODUCIBLE
YelpReviews,FLAG,main,64.79,0.71,73.98,1.25,38.45,0.66,Table2,REPRODUCIBLE
YelpReviews,GraphGPT,main,60.96,0.99,70.39,1.19,30.66,1.48,Table2,REPRODUCIBLE
YelpReviews,HiGPT,main,62.49,0.58,71.80,0.78,31.59,0.24,Table2,REPRODUCIBLE
YelpReviews,InstructGLM,main,66.43,0.14,75.73,0.57,38.36,0.24,Table2,REPRODUCIBLE
YelpReviews,DGP,main,69.07,0.23,84.28,0.11,48.87,0.82,Table2,REPRODUCIBLE
AmazonVideo,MLP,main,61.74,0.39,70.47,0.18,26.55,0.48,Table2,REPRODUCIBLE
AmazonVideo,SAGE,main,62.23,0.08,70.11,0.37,25.93,0.54,Table2,REPRODUCIBLE
AmazonVideo,HGT,main,65.55,0.59,73.07,0.70,33.41,0.66,Table2,REPRODUCIBLE
AmazonVideo,ConsisGAD,main,63.92,1.89,74.07,1.83,29.73,2.42,Table2,REPRODUCIBLE
AmazonVideo,PMP,main,63.49,3.10,75.95,0.99,30.40,2.74,Table2,REPRODUCIBLE
AmazonVideo,GAAP,main,62.79,2.28,70.93,2.84,27.57,2.51,Table2,REPRODUCIBLE
AmazonVideo,LLM,main,59.90,0.71,71.78,1.25,27.03,2.66,Table2,REPRODUCIBLE
