dataset,L,D,R,K,M,B,full_neighbor,vectorized,dgp_summarization,dgp_final,num_metapaths
amazonvideo,115.7,133.1,3,1,2,5,15515.369999999999,248.8,145.7,130.7,3
amazonvideo,115.7,133.1,3,1,2,10,15515.369999999999,248.8,175.7,145.7,3
amazonvideo,115.7,133.1,3,1,2,20,15515.369999999999,248.8,235.7,175.7,3
amazonvideo,115.7,133.1,3,1,2,40,15515.369999999999,248.8,355.7,235.7,3
amazonvideo,115.7,133.1,3,1,2,80,15515.369999999999,248.8,595.7,355.7,3
amazonvideo,115.7,133.1,3,1,4,5,15515.369999999999,248.8,175.7,130.7,3
amazonvideo,115.7,133.1,3,1,4,10,15515.369999999999,248.8,235.7,145.7,3
amazonvideo,115.7,133.1,3,1,4,20,15515.369999999999,248.8,355.7,175.7,3
amazonvideo,115.7,133.1,3,1,4,40,15515.369999999999,248.8,595.7,235.7,3
amazonvideo,115.7,133.1,3,1,4,80,15515.369999999999,248.8,1075.7,355.7,3
amazonvideo,115.7,133.1,3,1,8,5,15515.369999999999,248.8,235.7,130.7,3
amazonvideo,115.7,133.1,3,1,8,10,15515.369999999999,248.8,355.7,145.7,3
amazonvideo,115.7,133.1,3,1,8,20,15515.369999999999,248.8,595.7,175.7,3
amazonvideo,115.7,133.1,3,1,8,40,15515.369999999999,248.8,1075.7,235.7,3
amazonvideo,115.7,133.1,3,1,8,80,15515.369999999999,248.8,2035.7,355.7,3
amazonvideo,115.7,133.1,3,1,16,5,15515.369999999999,248.8,355.7,130.7,3
amazonvideo,115.7,133.1,3,1,16,10,15515.369999999999,248.8,595.7,145.7,3
amazonvideo,115.7,133.1,3,1,16,20,15515.369999999999,248.8,1075.7,175.7,3
amazonvideo,115.7,133.1,3,1,16,40,15515.369999999999,248.8,2035.7,235.7,3
amazonvideo,115.7,133.1,3,1,16,80,15515.369999999999,248.8,3955.7,355.7,3
amazonvideo,115.7,133.1,3,2,2,5,2065211.447,17964.41,235.7,175.7,12
amazonvideo,115.7,133.1,3,2,2,10,2065211.447,17964.41,355.7,235.7,12
amazonvideo,115.7,133.1,3,2,2,20,2065211.447,17964.41,595.7,355.7,12
amazonvideo,115.7,133.1,3,2,2,40,2065211.447,17964.41,1075.7,595.7,12
amazonvideo,115.7,133.1,3,2,2,80,2065211.447,17964.41,2035.7,1075.7,12
amazonvideo,115.7,133.1,3,2,4,5,2065211.447,17964.41,355.7,175.7,12
amazonvideo,115.7,133.1,3,2,4,10,2065211.447,17964.41,595.7,235.7,12
amazonvideo,115.7,133.1,3,2,4,20,2065211.447,17964.41,1075.7,355.7,12
amazonvideo,115.7,133.1,3,2,4,40,2065211.447,17964.41,2035.7,595.7,12
amazonvideo,115.7,133.1,3,2,4,80,2065211.447,17964.41,3955.7,1075.7,12
amazonvideo,115.7,133.1,3,2,8,5,2065211.447,17964.41,595.7,175.7,12
amazonvideo,115.7,133.1,3,2,8,10,2065211.447,17964.41,1075.7,235.7,12
amazonvideo,115.7,133.1,3,2,8,20,2065211.447,17964.41,2035.7,355.7,12
amazonvideo,115.7,133.1,3,2,8,40,2065211.447,17964.41,3955.7,595.7,12
amazonvideo,115.7,133.1,3,2,8,80,2065211.447,17964.41,7795.7,1075.7,12
amazonvideo,115.7,133.1,3,2,16,5,2065211.447,17964.41,1075.7,175.7,12
amazonvideo,115.7,133.1,3,2,16,10,2065211.447,17964.41,2035.7,235.7,12
amazonvideo,115.7,133.1,3,2,16,20,2065211.447,17964.41,3955.7,355.7,12
amazonvideo,115.7,133.1,3,2,16,40,2065211.447,17964.41,7795.7,595.7,12
amazonvideo,115.7,133.1,3,2,16,80,2065211.447,17964.41,15475.7,1075.7,12
amazonvideo,115.7,133.1,3,3,2,5,274879759.29569995,2375912.101,505.7,310.7,39
amazonvideo,115.7,133.1,3,3,2,10,274879759.29569995,2375912.101,895.7,505.7,39
amazonvideo,115.7,133.1,3,3,2,20,274879759.29569995,2375912.101,1675.7,895.7,39
amazonvideo,115.7,133.1,3,3,2,40,274879759.29569995,2375912.101,3235.7,1675.7,39
amazonvideo,115.7,133.1,3,3,2,80,274879759.29569995,2375912.101,6355.7,3235.7,39
amazonvideo,115.7,133.1,3,3,4,5,274879759.29569995,2375912.101,895.7,310.7,39
amazonvideo,115.7,133.1,3,3,4,10,274879759.29569995,2375912.101,1675.7,505.7,39
amazonvideo,115.7,133.1,3,3,4,20,274879759.29569995,2375912.101,3235.7,895.7,39
amazonvideo,115.7,133.1,3,3,4,40,274879759.29569995,2375912.101,6355.7,1675.7,39
amazonvideo,115.7,133.1,3,3,4,80,274879759.29569995,2375912.101,12595.7,3235.7,39
amazonvideo,115.7,133.1,3,3,8,5,274879759.29569995,2375912.101,1675.7,310.7,39
amazonvideo,115.7,133.1,3,3,8,10,274879759.29569995,2375912.101,3235.7,505.7,39
amazonvideo,115.7,133.1,3,3,8,20,274879759.29569995,2375912.101,6355.7,895.7,39
amazonvideo,115.7,133.1,3,3,8,40,274879759.29569995,2375912.101,12595.7,1675.7,39
amazonvideo,115.7,133.1,3,3,8,80,274879759.29569995,2375912.101,25075.7,3235.7,39
amazonvideo,115.7,133.1,3,3,16,5,274879759.29569995,2375912.101,3235.7,310.7,39
amazonvideo,115.7,133.1,3,3,16,10,274879759.29569995,2375912.101,6355.7,505.7,39
amazonvideo,115.7,133.1,3,3,16,20,274879759.29569995,2375912.101,12595.7,895.7,39
amazonvideo,115.7,133.1,3,3,16,40,274879759.29569995,2375912.101,25075.7,1675.7,39
amazonvideo,115.7,133.1,3,3,16,80,274879759.29569995,2375912.101,50035.7,3235.7,39
