dataset,method,variant,mode,metric,paper,paper_std,ours,ours_std,abs_diff,rel_diff_pct,status
YelpReviews,MLP,main,,all,,,,,,,NO_RESULT
YelpReviews,SAGE,main,,all,,,,,,,NO_RESULT
YelpReviews,HGT,main,,all,,,,,,,NO_RESULT
YelpReviews,ConsisGAD,main,,all,,,,,,,NO_RESULT
YelpReviews,PMP,main,,all,,,,,,,NO_RESULT
YelpReviews,GAAP,main,,all,,,,,,,NO_RESULT
YelpReviews,LLM,main,,all,,,,,,,NO_RESULT
YelpReviews,TAPE,main,,all,,,,,,,NO_RESULT
YelpReviews,FLAG,main,,all,,,,,,,NO_RESULT
YelpReviews,GraphGPT,main,,all,,,,,,,NO_RESULT
YelpReviews,HiGPT,main,,all,,,,,,,NO_RESULT
YelpReviews,InstructGLM,main,,all,,,,,,,NO_RESULT
YelpReviews,DGP,main,,all,,,,,,,NO_RESULT
AmazonVideo,MLP,main,,all,,,,,,,NO_RESULT
AmazonVideo,SAGE,main,,all,,,,,,,NO_RESULT
AmazonVideo,HGT,main,,all,,,,,,,NO_RESULT
AmazonVideo,ConsisGAD,main,,all,,,,,,,NO_RESULT
AmazonVideo,PMP,main,,all,,,,,,,NO_RESULT
AmazonVideo,GAAP,main,,all,,,,,,,NO_RESULT
AmazonVideo,LLM,main,,all,,,,,,,NO_RESULT
AmazonVideo,TAPE,main,,all,,,,,,,NO_RESULT
AmazonVideo,FLAG,main,,all,,,,,,,NO_RESULT
AmazonVideo,GraphGPT,main,,all,,,,,,,NO_RESULT
AmazonVideo,HiGPT,main,,all,,,,,,,NO_RESULT
AmazonVideo,InstructGLM,main,,all,,,,,,,NO_RESULT
AmazonVideo,DGP,main,GPU_REPRODUCTION,macro_f1,66.91,0.13,65.16,0.52,-1.75,-2.62,CLOSE
AmazonVideo,DGP,main,GPU_REPRODUCTION,auroc,77.32,0.11,75.07,0.5,-2.25,-2.91,DEVIATES
AmazonVideo,DGP,main,GPU_REPRODUCTION,auprc,34.63,0.24,32.33,0.65,-2.3,-6.64,DEVIATES
YelpReviews,DGP,task_agnostic,,all,,,,,,,NO_RESULT
YelpReviews,DGP,task_aware,,all,,,,,,,NO_RESULT
AmazonVideo,DGP,task_agnostic,,all,,,,,,,NO_RESULT
AmazonVideo,DGP,task_aware,,all,,,,,,,NO_RESULT
