node,split,raw_target_tokens,raw_neighbor_tokens,trimmed_neighbor_raw_tokens,node_summary_tokens,metapath_summary_tokens,final_prompt_tokens,num_neighbors_full,num_neighbors_trimmed,num_metapaths,K,M,B_node,B_meta,target_truncated
14,train,34,1168055,3486,1244,400,640,13829,48,12,2,4,10,10,False
43,train,42,1555456,4151,1014,355,607,17765,48,12,2,4,10,10,False
60,train,133,1682348,9658,1749,602,943,15826,48,12,2,4,10,10,False
106,train,1572,304721,22808,1863,614,1845,3026,44,12,2,4,10,10,True
145,train,43,874705,4027,1072,479,729,9796,48,12,2,4,10,10,False
250,train,139,241296,14210,1680,429,774,2141,44,12,2,4,10,10,False
252,train,151,313198,18129,2079,639,1001,2134,44,12,2,4,10,10,False
271,train,33,1365547,4929,1166,526,770,15666,48,12,2,4,10,10,False
307,train,26,916141,2990,1006,379,613,9007,48,12,2,4,10,10,False
380,train,36,178725,7537,1029,398,608,1770,32,12,2,4,10,10,False
390,train,55,1125259,5475,1228,441,700,11441,48,12,2,4,10,10,False
408,train,54,1370892,4169,1254,553,813,13748,48,12,2,4,10,10,False
419,train,38,446255,5294,1332,592,841,4973,48,12,2,4,10,10,False
425,train,44,1013990,5848,1459,488,740,11950,48,12,2,4,10,10,False
465,train,10,1760512,6345,1133,464,683,16484,48,12,2,4,10,10,False
469,train,849,756748,29843,2257,572,1630,4735,48,12,2,4,10,10,False
480,train,110,1355125,10888,1526,517,834,11922,48,12,2,4,10,10,False
505,train,402,429232,14372,1378,380,958,4933,32,12,2,4,10,10,False
511,train,38,659911,3330,1006,555,804,7296,48,12,2,4,10,10,False
519,train,200,68702,13650,1333,481,883,230,41,12,2,4,10,10,False
536,train,48,1698608,10421,1392,571,831,18953,48,12,2,4,10,10,False
551,train,39,1673316,2293,929,393,641,18408,48,12,2,4,10,10,False
601,train,173,347094,18280,1858,543,925,2037,44,12,2,4,10,10,False
624,train,288,2353632,10523,1551,571,1069,26798,48,12,2,4,10,10,False
655,train,67,2563596,4703,1237,581,858,28483,48,12,2,4,10,10,False
675,train,33,2462913,2398,870,356,597,28143,48,12,2,4,10,10,False
714,train,83,2066610,9743,1431,385,676,22413,48,12,2,4,10,10,False
773,train,54,1628488,6719,1250,466,731,16701,48,12,2,4,10,10,False
790,train,271,497806,15074,1840,394,875,4316,48,12,2,4,10,10,False
874,train,25,1707662,1742,778,273,506,17931,48,12,2,4,10,10,False
875,train,38,2378839,2532,936,396,641,26260,48,12,2,4,10,10,False
911,train,47,1050368,6795,1238,345,601,10593,48,12,2,4,10,10,False
955,train,34,2051424,3942,1166,364,609,23008,48,12,2,4,10,10,False
986,train,119,534752,15175,1837,525,857,5661,48,12,2,4,10,10,False
1004,train,127,621486,10034,1540,506,842,5651,48,12,2,4,10,10,False
1125,train,38,933022,12989,1428,477,721,9153,48,12,2,4,10,10,False
1145,train,24,1697418,2277,958,454,688,19137,48,12,2,4,10,10,False
1148,train,89,1639154,4711,1215,526,825,18678,48,12,2,4,10,10,False
1159,train,31,1355354,2361,924,407,648,15918,48,12,2,4,10,10,False
1164,train,295,1931576,22027,1854,572,1078,20616,48,12,2,4,10,10,False
1272,train,481,1401481,11564,1696,466,1156,15419,48,12,2,4,10,10,False
1292,train,47,1150347,15377,1813,550,808,11618,48,12,2,4,10,10,False
1370,train,29,2096156,1586,800,422,654,22948,48,12,2,4,10,10,False
1390,train,39,1841927,3235,1069,473,719,19830,48,12,2,4,10,10,False
1394,train,27,1985686,2863,918,413,646,21986,48,12,2,4,10,10,False
1402,train,52,1408144,4824,1369,499,758,15429,48,12,2,4,10,10,False
1408,train,26,2643753,2848,1085,369,606,30229,48,12,2,4,10,10,False
1432,train,116,234744,15419,1608,438,756,874,41,12,2,4,10,10,False
1473,train,71,634246,12071,1586,501,784,4771,48,12,2,4,10,10,False
1476,train,93,555078,22872,1878,472,774,4562,48,12,2,4,10,10,False
1513,train,251,957516,20151,2109,583,1042,7739,48,12,2,4,10,10,False
1623,train,26,1576436,1694,790,347,581,18111,48,12,2,4,10,10,False
1626,train,32,1202364,3551,869,333,575,13628,48,12,2,4,10,10,False
1634,train,40,337239,7940,1326,517,766,3639,48,12,2,4,10,10,False
1652,train,42,676726,5649,1287,430,682,6540,48,12,2,4,10,10,False
1675,train,37,1972587,2447,923,342,588,22759,48,12,2,4,10,10,False
1712,train,95,577160,9971,1567,485,791,4559,48,12,2,4,10,10,False
1719,train,1102,924428,26290,2048,490,1720,5676,44,12,2,4,10,10,True
1747,train,54,445010,10510,1228,490,754,4819,44,12,2,4,10,10,False
1748,train,27,1458410,8570,1187,584,820,15310,48,12,2,4,10,10,False
1770,train,29,1213077,3767,1211,436,674,13294,48,12,2,4,10,10,False
1835,train,31,1246940,6359,1374,438,676,12643,48,12,2,4,10,10,False
1895,train,180,423940,16966,1852,602,994,4249,46,12,2,4,10,10,False
1899,train,94,839597,9632,1503,552,854,8857,48,12,2,4,10,10,False
1915,train,509,518697,21103,1966,534,1251,4870,48,12,2,4,10,10,False
1938,train,49,1017317,7143,1316,423,680,8976,48,12,2,4,10,10,False
1957,train,27,1046136,3564,902,369,605,8775,48,12,2,4,10,10,False
1990,train,52,1854394,7005,1512,404,661,17696,48,12,2,4,10,10,False
2003,train,206,1818328,8012,1652,534,948,20261,48,12,2,4,10,10,False
2010,train,26,1193890,4496,1198,513,750,13025,48,12,2,4,10,10,False
2024,train,119,1842634,7245,1515,579,908,21081,48,12,2,4,10,10,False
2056,train,112,316809,12640,1358,373,659,1907,32,12,2,4,10,10,False
2129,train,29,1773736,2680,1003,455,692,21550,48,12,2,4,10,10,False
2130,train,55,1416129,3198,1046,483,747,16507,48,12,2,4,10,10,False
2169,train,39,1205372,3460,1100,330,578,12981,48,12,2,4,10,10,False
2178,train,56,1478022,5857,1194,497,763,14844,48,12,2,4,10,10,False
2224,train,27,230967,4134,1122,503,731,1808,48,12,2,4,10,10,False
2237,train,163,1049226,9467,1662,443,811,9747,48,12,2,4,10,10,False
2254,train,68,1405276,4990,1210,423,705,14897,48,12,2,4,10,10,False
2365,train,86,1436840,4117,1010,431,727,15447,48,12,2,4,10,10,False
2370,train,34,1500212,4249,1093,425,670,16105,48,12,2,4,10,10,False
2403,train,73,1764603,5628,1318,386,665,20295,48,12,2,4,10,10,False
2414,train,29,2117855,2558,970,498,735,23340,48,12,2,4,10,10,False
2457,train,95,2397827,3379,1162,463,768,27698,48,12,2,4,10,10,False
2491,train,34,1882826,2039,942,506,748,21809,48,12,2,4,10,10,False
2567,train,29,1787537,2338,956,409,646,19807,48,12,2,4,10,10,False
2578,train,36,1382645,3920,1187,469,713,15456,48,12,2,4,10,10,False
2590,train,1057,334249,24368,2021,576,1813,3709,48,12,2,4,10,10,True
2636,train,97,514615,10132,1526,488,793,3426,48,12,2,4,10,10,False
2660,train,35,1863918,1764,840,353,595,21140,48,12,2,4,10,10,False
2664,train,104,1927550,4785,1338,473,787,21868,48,12,2,4,10,10,False
2704,train,82,555788,6975,1441,479,769,5163,48,12,2,4,10,10,False
2727,train,28,1416643,1669,846,466,704,16225,48,12,2,4,10,10,False
2778,train,32,1317310,4577,1261,333,574,14867,48,12,2,4,10,10,False
2782,train,337,515942,16835,1837,605,1153,5545,44,12,2,4,10,10,False
2794,train,84,1132857,7767,1428,433,729,11290,48,12,2,4,10,10,False
2811,train,113,362650,8874,984,268,559,2554,32,12,2,4,10,10,False
2874,train,68,1507216,8504,1543,484,762,15896,48,12,2,4,10,10,False
2925,train,509,103462,17490,1639,548,1265,474,44,12,2,4,10,10,False
2948,train,26,829792,7289,1251,527,767,8292,46,12,2,4,10,10,False
2975,train,25,1371247,2546,890,360,594,12941,48,12,2,4,10,10,False
2978,train,40,2051770,1948,779,388,638,21765,48,12,2,4,10,10,False
3002,train,32,2256271,2284,794,361,602,24188,48,12,2,4,10,10,False
3011,train,31,1880713,2700,954,463,704,20152,48,12,2,4,10,10,False
3089,train,190,1105378,15625,1881,617,1017,8809,48,12,2,4,10,10,False
3121,train,365,285004,21024,2080,549,1127,1558,48,12,2,4,10,10,False
3137,train,94,1183271,3392,1093,451,755,12262,48,12,2,4,10,10,False
3179,train,42,676710,2068,783,287,538,7014,48,12,2,4,10,10,False
3188,train,26,1422151,3110,950,453,688,16347,48,12,2,4,10,10,False
3193,train,35,1736229,2179,891,452,694,20044,48,12,2,4,10,10,False
3199,train,46,1332818,1618,805,385,638,14350,48,12,2,4,10,10,False
3207,train,66,1649494,3502,1063,359,630,19245,48,12,2,4,10,10,False
3284,train,455,1614928,18682,2103,455,1120,17689,48,12,2,4,10,10,False
3291,train,62,343427,10843,1510,421,691,1366,46,12,2,4,10,10,False
3360,train,275,981116,11028,1703,510,995,9599,48,12,2,4,10,10,False
3363,train,54,885494,4466,1228,410,673,9840,48,12,2,4,10,10,False
